Order ID,Order Date,Ship Date,Customer Name,Customer Segment,Category,Sub-Category,Product Name,Sales Amount,Profit,Discount,Quantity,Region,State
ORD1026,2023-08-26 00:00:00,2023-09-01 00:00:00,Customer 164,Small Business,Office Supplies,Paper,Paper 20,852.05,110.11,0.04,4,Central,Texas
ORD1027,2023-04-21 00:00:00,2023-04-22 00:00:00,Customer 261,Home Office,Office Supplies,Staplers,Staplers 73,725.72,196.49,0.01,9,West,Florida
ORD1028,2023-04-08 00:00:00,2023-04-14 00:00:00,Customer 248,Consumer,Technology,Phones,Phones 79,817.05,121.28,0.1,3,West,New York
ORD1029,2023-11-23 00:00:00,2023-11-25 00:00:00,Customer 404,Corporate,Office Supplies,Paper,Paper 63,621.22,183.74,0.13,2,East,Texas
ORD1030,2023-03-04 00:00:00,2023-03-11 00:00:00,Customer 221,Consumer,Office Supplies,Pens,Pens 80,919.96,46.84,0.05,8,East,Florida
ORD1031,2023-11-12 00:00:00,2023-11-13 00:00:00,Customer 69,Home Office,Furniture,Chairs,Chairs 84,931.08,236.4,0.14,8,Central,New York
ORD1032,2023-10-25 00:00:00,2023-10-28 00:00:00,Customer 111,Consumer,Technology,Monitors,Monitors 22,687.11,149.36,0.06,5,Central,New York
ORD1033,2023-12-25 00:00:00,2023-12-31 00:00:00,Customer 202,Consumer,Furniture,Tables,Tables 11,14.23,2.37,0.19,2,West,Texas
ORD1034,2023-09-22 00:00:00,2023-09-24 00:00:00,Customer 103,Small Business,Furniture,Tables,Tables 6,241.1,27.27,0.01,2,Central,New York
ORD1035,2023-10-07 00:00:00,2023-10-12 00:00:00,Customer 132,Consumer,Office Supplies,Pens,Pens 60,462.31,58.32,0.1,7,West,Florida
ORD1036,2023-10-08 00:00:00,2023-10-13 00:00:00,Customer 116,Small Business,Technology,Monitors,Monitors 85,852,79.81,0.16,6,South,Texas
ORD1037,2023-06-15 00:00:00,2023-06-20 00:00:00,Customer 230,Corporate,Office Supplies,Staplers,Staplers 86,286.01,29.76,0.18,9,South,California
ORD1038,2023-01-31 00:00:00,2023-02-07 00:00:00,Customer 195,Home Office,Furniture,Tables,Tables 74,741.38,169.31,0.09,1,West,Illinois
ORD1039,2023-07-06 00:00:00,2023-07-11 00:00:00,Customer 328,Corporate,Office Supplies,Paper,Paper 3,977.83,108.87,0.09,2,West,Texas
ORD1040,2023-02-10 00:00:00,2023-02-14 00:00:00,Customer 159,Consumer,Furniture,Bookcases,Bookcases 97,720.29,188.24,0.14,10,South,Texas
ORD1041,2023-11-09 00:00:00,2023-11-15 00:00:00,Customer 6,Small Business,Furniture,Bookcases,Bookcases 65,372.1,21.15,0.09,7,Central,California
ORD1042,2023-02-05 00:00:00,2023-02-08 00:00:00,Customer 153,Small Business,Furniture,Sofas,Sofas 53,671.88,201.34,0.14,6,East,New York
ORD1043,2023-04-16 00:00:00,2023-04-21 00:00:00,Customer 284,Corporate,Furniture,Chairs,Chairs 83,862.89,151.56,0.07,2,East,Florida
ORD1044,2023-04-20 00:00:00,2023-04-23 00:00:00,Customer 390,Consumer,Technology,Phones,Phones 84,36.14,2.53,0.15,2,West,Texas
ORD1045,2023-10-11 00:00:00,2023-10-14 00:00:00,Customer 74,Small Business,Office Supplies,Staplers,Staplers 62,756.07,106.17,0.09,6,West,Florida
ORD1046,2023-04-26 00:00:00,2023-04-28 00:00:00,Customer 440,Consumer,Furniture,Sofas,Sofas 76,947.81,173.86,0.15,5,South,Florida
ORD1047,2023-11-29 00:00:00,2023-12-04 00:00:00,Customer 307,Home Office,Technology,Phones,Phones 6,518.3,79.83,0.14,6,West,Florida
ORD1048,2023-05-30 00:00:00,2023-05-31 00:00:00,Customer 330,Home Office,Furniture,Tables,Tables 95,109.91,31.08,0.13,2,West,New York
ORD1049,2023-07-13 00:00:00,2023-07-19 00:00:00,Customer 407,Consumer,Furniture,Chairs,Chairs 73,927.32,69.36,0.01,1,East,Texas
ORD1050,2023-11-01 00:00:00,2023-11-07 00:00:00,Customer 197,Corporate,Furniture,Chairs,Chairs 59,566.94,97.82,0.05,1,East,Texas
ORD1051,2023-04-16 00:00:00,2023-04-23 00:00:00,Customer 16,Corporate,Furniture,Chairs,Chairs 95,998.07,99.41,0.02,1,South,Texas
ORD1052,2023-12-14 00:00:00,2023-12-15 00:00:00,Customer 131,Small Business,Office Supplies,Pens,Pens 43,176.26,29.63,0.11,9,Central,Illinois
ORD1053,2023-03-25 00:00:00,2023-03-27 00:00:00,Customer 332,Consumer,Furniture,Chairs,Chairs 58,627.23,167.28,0.12,1,Central,Florida
ORD1054,2023-12-05 00:00:00,2023-12-11 00:00:00,Customer 114,Home Office,Technology,Printers,Printers 77,748.87,111.82,0.13,3,West,New York
ORD1055,2023-11-29 00:00:00,2023-12-06 00:00:00,Customer 19,Small Business,Office Supplies,Paper,Paper 28,748.84,175.14,0.16,10,South,California
ORD1056,2023-03-04 00:00:00,2023-03-10 00:00:00,Customer 465,Corporate,Furniture,Bookcases,Bookcases 45,397.31,88.87,0.09,9,West,Illinois
ORD1057,2023-03-30 00:00:00,2023-04-02 00:00:00,Customer 189,Corporate,Technology,Phones,Phones 24,376.85,112.23,0.18,1,South,Illinois
ORD1058,2023-05-09 00:00:00,2023-05-13 00:00:00,Customer 343,Small Business,Technology,Laptops,Laptops 77,205.82,21.17,0.14,5,Central,New York
ORD1059,2023-09-26 00:00:00,2023-09-28 00:00:00,Customer 232,Small Business,Furniture,Bookcases,Bookcases 25,230.86,34.28,0.05,1,Central,Illinois
ORD1060,2023-03-29 00:00:00,2023-03-31 00:00:00,Customer 37,Small Business,Furniture,Bookcases,Bookcases 55,286.45,16.2,0.14,5,South,California
ORD1061,2023-01-09 00:00:00,2023-01-15 00:00:00,Customer 429,Consumer,Technology,Phones,Phones 15,457.44,135.82,0.12,7,West,Texas
ORD1062,2023-02-16 00:00:00,2023-02-23 00:00:00,Customer 248,Consumer,Furniture,Bookcases,Bookcases 81,538.64,150.02,0.14,5,Central,Illinois
ORD1063,2023-02-01 00:00:00,2023-02-07 00:00:00,Customer 100,Consumer,Office Supplies,Paper,Paper 15,432.64,31.19,0.19,5,Central,New York
ORD1064,2023-08-13 00:00:00,2023-08-14 00:00:00,Customer 253,Home Office,Technology,Printers,Printers 18,301.1,37.88,0.07,3,Central,California
ORD1065,2023-01-25 00:00:00,2023-01-30 00:00:00,Customer 435,Consumer,Technology,Phones,Phones 15,709,169.85,0.08,7,Central,California
ORD1066,2023-08-09 00:00:00,2023-08-10 00:00:00,Customer 383,Corporate,Furniture,Sofas,Sofas 89,997.56,241.96,0.1,5,Central,Illinois
ORD1067,2023-07-24 00:00:00,2023-07-29 00:00:00,Customer 207,Consumer,Furniture,Chairs,Chairs 24,946.48,262.45,0.1,5,South,Illinois
ORD1068,2023-10-02 00:00:00,2023-10-05 00:00:00,Customer 218,Home Office,Office Supplies,Paper,Paper 95,737.52,46.61,0.09,10,South,Florida
ORD1069,2023-04-01 00:00:00,2023-04-04 00:00:00,Customer 2,Consumer,Furniture,Chairs,Chairs 95,67.34,14.02,0.19,7,East,Florida
ORD1070,2023-02-10 00:00:00,2023-02-15 00:00:00,Customer 418,Consumer,Office Supplies,Pens,Pens 18,829.43,80.11,0.1,2,Central,Texas
ORD1071,2023-05-15 00:00:00,2023-05-16 00:00:00,Customer 137,Home Office,Furniture,Tables,Tables 13,330.5,24,0.13,5,West,California
ORD1072,2023-08-28 00:00:00,2023-08-29 00:00:00,Customer 106,Corporate,Technology,Laptops,Laptops 31,388.65,26.35,0.1,9,West,New York
ORD1073,2023-02-01 00:00:00,2023-02-05 00:00:00,Customer 236,Consumer,Furniture,Bookcases,Bookcases 26,779.18,194.62,0.13,3,West,California
ORD1074,2023-03-09 00:00:00,2023-03-14 00:00:00,Customer 297,Home Office,Technology,Monitors,Monitors 33,268.09,68.6,0.15,5,East,Illinois
ORD1075,2023-08-03 00:00:00,2023-08-10 00:00:00,Customer 41,Consumer,Office Supplies,Pens,Pens 70,912.64,265.36,0.02,1,South,Texas
ORD1076,2023-05-03 00:00:00,2023-05-10 00:00:00,Customer 397,Small Business,Office Supplies,Pens,Pens 55,939.09,186.52,0.03,6,East,Florida
ORD1077,2023-02-28 00:00:00,2023-03-01 00:00:00,Customer 124,Corporate,Technology,Laptops,Laptops 8,659.01,38.7,0.14,9,Central,California
ORD1078,2023-12-07 00:00:00,2023-12-11 00:00:00,Customer 171,Small Business,Technology,Printers,Printers 13,808.62,144.51,0.07,5,East,New York
ORD1079,2023-01-06 00:00:00,2023-01-10 00:00:00,Customer 397,Corporate,Office Supplies,Pens,Pens 37,155.48,36.03,0.18,4,Central,Florida
ORD1080,2023-10-17 00:00:00,2023-10-22 00:00:00,Customer 300,Small Business,Furniture,Chairs,Chairs 36,530.11,53.75,0.2,10,East,Illinois
ORD1081,2023-05-27 00:00:00,2023-05-29 00:00:00,Customer 27,Corporate,Technology,Monitors,Monitors 7,584.11,147.93,0.05,6,West,Illinois
ORD1082,2023-12-15 00:00:00,2023-12-16 00:00:00,Customer 48,Home Office,Furniture,Bookcases,Bookcases 92,609.96,93.26,0.2,7,West,New York
ORD1083,2023-02-22 00:00:00,2023-02-24 00:00:00,Customer 48,Consumer,Technology,Monitors,Monitors 54,345.22,87.68,0.19,7,Central,New York
ORD1084,2023-01-27 00:00:00,2023-01-28 00:00:00,Customer 425,Home Office,Technology,Monitors,Monitors 88,256.67,48.3,0.09,3,East,Florida
ORD1085,2023-10-18 00:00:00,2023-10-22 00:00:00,Customer 197,Corporate,Office Supplies,Paper,Paper 76,197.6,29.63,0.14,1,Central,California
ORD1086,2023-09-06 00:00:00,2023-09-13 00:00:00,Customer 241,Corporate,Technology,Phones,Phones 1,739.07,66.71,0.06,2,East,Florida
ORD1087,2023-11-20 00:00:00,2023-11-21 00:00:00,Customer 47,Consumer,Technology,Phones,Phones 82,428.57,111.2,0.04,3,East,New York
ORD1088,2023-02-19 00:00:00,2023-02-20 00:00:00,Customer 351,Home Office,Furniture,Sofas,Sofas 79,452.79,120.54,0.15,8,West,New York
ORD1089,2023-03-22 00:00:00,2023-03-25 00:00:00,Customer 91,Home Office,Office Supplies,Binders,Binders 77,786.8,208.91,0.16,1,Central,Illinois
ORD1090,2023-02-01 00:00:00,2023-02-04 00:00:00,Customer 443,Corporate,Furniture,Tables,Tables 35,661.69,135.4,0.13,3,Central,California
ORD1091,2023-08-28 00:00:00,2023-09-02 00:00:00,Customer 358,Corporate,Furniture,Bookcases,Bookcases 98,104.12,13.51,0.12,6,East,Illinois
ORD1092,2023-10-30 00:00:00,2023-11-03 00:00:00,Customer 315,Home Office,Office Supplies,Paper,Paper 20,460.03,112.45,0.09,6,Central,New York
ORD1093,2023-02-25 00:00:00,2023-03-04 00:00:00,Customer 281,Consumer,Office Supplies,Paper,Paper 65,653,75.57,0.16,2,South,Florida
ORD1094,2023-09-16 00:00:00,2023-09-23 00:00:00,Customer 71,Consumer,Office Supplies,Pens,Pens 70,174.04,39.92,0,7,West,Florida
ORD1095,2023-06-15 00:00:00,2023-06-16 00:00:00,Customer 30,Home Office,Technology,Printers,Printers 89,34.16,2.13,0.04,2,West,California
ORD1096,2023-05-11 00:00:00,2023-05-12 00:00:00,Customer 450,Consumer,Furniture,Bookcases,Bookcases 3,963.6,283.79,0.16,8,East,Texas
ORD1097,2023-02-12 00:00:00,2023-02-13 00:00:00,Customer 31,Small Business,Office Supplies,Pens,Pens 72,801.9,130.62,0.14,4,Central,Illinois
ORD1098,2023-11-30 00:00:00,2023-12-02 00:00:00,Customer 409,Small Business,Office Supplies,Staplers,Staplers 79,366.89,94.3,0.18,6,East,Texas
ORD1099,2023-10-16 00:00:00,2023-10-22 00:00:00,Customer 219,Small Business,Office Supplies,Paper,Paper 33,910.65,149.07,0.05,6,West,Texas
ORD1100,2023-11-20 00:00:00,2023-11-24 00:00:00,Customer 414,Small Business,Furniture,Chairs,Chairs 7,915.41,95.05,0.1,2,Central,Texas
ORD1101,2023-01-04 00:00:00,2023-01-09 00:00:00,Customer 381,Small Business,Furniture,Sofas,Sofas 42,721,61.43,0.1,7,South,Texas
ORD1102,2023-10-15 00:00:00,2023-10-18 00:00:00,Customer 103,Small Business,Furniture,Sofas,Sofas 11,24.67,4.14,0.16,4,Central,Florida
ORD1103,2023-04-19 00:00:00,2023-04-26 00:00:00,Customer 12,Home Office,Technology,Monitors,Monitors 94,973.3,133.38,0.11,4,South,Florida
ORD1104,2023-12-28 00:00:00,2024-01-01 00:00:00,Customer 348,Corporate,Technology,Phones,Phones 35,158.56,20.65,0.17,2,East,Texas
ORD1105,2023-01-22 00:00:00,2023-01-27 00:00:00,Customer 409,Corporate,Technology,Phones,Phones 14,427.41,27.57,0.09,1,West,New York
ORD1106,2023-12-24 00:00:00,2023-12-27 00:00:00,Customer 69,Consumer,Technology,Monitors,Monitors 26,776.38,182.96,0.19,4,West,Illinois
ORD1107,2023-05-19 00:00:00,2023-05-26 00:00:00,Customer 278,Home Office,Office Supplies,Staplers,Staplers 69,385.16,80.03,0.17,9,East,Texas
ORD1108,2023-04-11 00:00:00,2023-04-17 00:00:00,Customer 436,Small Business,Technology,Laptops,Laptops 56,418.95,111.01,0.07,10,South,Illinois
ORD1109,2023-04-20 00:00:00,2023-04-22 00:00:00,Customer 212,Corporate,Technology,Monitors,Monitors 18,476.08,130.52,0.16,8,West,Florida
ORD1110,2023-04-16 00:00:00,2023-04-23 00:00:00,Customer 217,Small Business,Technology,Phones,Phones 14,993.7,165.36,0.19,8,East,Illinois
ORD1111,2023-04-11 00:00:00,2023-04-17 00:00:00,Customer 303,Small Business,Technology,Laptops,Laptops 15,72.36,4.76,0.07,4,Central,Illinois
ORD1112,2023-04-27 00:00:00,2023-05-03 00:00:00,Customer 180,Home Office,Furniture,Bookcases,Bookcases 93,144.6,7.74,0.06,10,Central,Texas
ORD1113,2023-05-31 00:00:00,2023-06-07 00:00:00,Customer 269,Small Business,Technology,Laptops,Laptops 84,554.55,99.19,0.05,6,East,Florida
ORD1114,2023-08-29 00:00:00,2023-09-04 00:00:00,Customer 477,Small Business,Office Supplies,Pens,Pens 57,833.99,219.12,0.14,1,Central,Florida
ORD1115,2023-05-02 00:00:00,2023-05-05 00:00:00,Customer 163,Home Office,Technology,Monitors,Monitors 37,998.6,88.21,0,4,Central,Florida
ORD1116,2023-10-28 00:00:00,2023-10-29 00:00:00,Customer 459,Corporate,Technology,Printers,Printers 8,640.96,116.7,0.17,5,West,Illinois
ORD1117,2023-10-14 00:00:00,2023-10-18 00:00:00,Customer 261,Consumer,Technology,Laptops,Laptops 98,68.29,14.76,0.02,9,South,New York
ORD1118,2023-08-13 00:00:00,2023-08-20 00:00:00,Customer 345,Home Office,Technology,Printers,Printers 84,878.59,250.23,0.04,3,East,Texas
ORD1119,2023-08-30 00:00:00,2023-09-02 00:00:00,Customer 158,Small Business,Furniture,Chairs,Chairs 28,311,80.29,0.13,9,East,Illinois
ORD1120,2023-09-21 00:00:00,2023-09-25 00:00:00,Customer 433,Small Business,Office Supplies,Binders,Binders 39,639.04,118.22,0,9,East,Illinois
ORD1121,2023-06-14 00:00:00,2023-06-18 00:00:00,Customer 358,Corporate,Office Supplies,Binders,Binders 89,788.34,141.53,0.11,10,West,Texas
ORD1122,2023-09-06 00:00:00,2023-09-12 00:00:00,Customer 219,Small Business,Office Supplies,Pens,Pens 54,681.36,99.87,0.02,4,East,Florida
ORD1123,2023-12-01 00:00:00,2023-12-03 00:00:00,Customer 40,Consumer,Office Supplies,Staplers,Staplers 51,185.63,45.43,0.19,4,South,California
ORD1124,2023-10-13 00:00:00,2023-10-17 00:00:00,Customer 63,Home Office,Furniture,Tables,Tables 59,360.89,46.2,0.11,6,South,New York
ORD1125,2023-02-20 00:00:00,2023-02-22 00:00:00,Customer 422,Small Business,Furniture,Chairs,Chairs 25,605.02,152.16,0.15,1,East,Texas
ORD1126,2023-06-17 00:00:00,2023-06-20 00:00:00,Customer 166,Corporate,Furniture,Chairs,Chairs 25,393.09,89.17,0.04,8,South,Texas
ORD1127,2023-10-30 00:00:00,2023-11-01 00:00:00,Customer 3,Small Business,Technology,Printers,Printers 46,333.35,98.96,0.06,6,East,Texas
ORD1128,2023-04-19 00:00:00,2023-04-22 00:00:00,Customer 497,Home Office,Technology,Laptops,Laptops 28,595.59,150.57,0.16,4,South,California
ORD1129,2023-09-15 00:00:00,2023-09-17 00:00:00,Customer 435,Consumer,Furniture,Chairs,Chairs 88,959.85,77.51,0.06,6,East,Illinois
ORD1130,2023-06-15 00:00:00,2023-06-16 00:00:00,Customer 443,Consumer,Technology,Phones,Phones 8,94.43,25.25,0.14,7,East,Illinois
ORD1131,2023-08-07 00:00:00,2023-08-10 00:00:00,Customer 165,Consumer,Furniture,Bookcases,Bookcases 43,640.59,162.64,0.16,9,South,Illinois
ORD1132,2023-07-12 00:00:00,2023-07-19 00:00:00,Customer 67,Small Business,Office Supplies,Staplers,Staplers 47,244.43,50.48,0.18,5,South,New York
ORD1133,2023-08-22 00:00:00,2023-08-25 00:00:00,Customer 287,Small Business,Technology,Phones,Phones 56,242.32,63.13,0.01,1,West,New York
ORD1134,2023-06-15 00:00:00,2023-06-16 00:00:00,Customer 490,Home Office,Furniture,Bookcases,Bookcases 68,542.32,106.44,0.08,3,West,Florida
ORD1135,2023-11-22 00:00:00,2023-11-28 00:00:00,Customer 194,Home Office,Furniture,Chairs,Chairs 95,308.12,31.76,0.08,2,South,New York
ORD1136,2023-08-05 00:00:00,2023-08-08 00:00:00,Customer 373,Corporate,Office Supplies,Staplers,Staplers 30,843.38,144.53,0.06,9,Central,Texas
ORD1137,2023-10-05 00:00:00,2023-10-07 00:00:00,Customer 281,Home Office,Technology,Printers,Printers 60,138.38,10.91,0.15,7,East,California
ORD1138,2023-10-02 00:00:00,2023-10-04 00:00:00,Customer 120,Home Office,Technology,Phones,Phones 52,690,53.35,0.16,9,Central,California
ORD1139,2023-11-07 00:00:00,2023-11-14 00:00:00,Customer 53,Corporate,Office Supplies,Pens,Pens 74,161.83,13.33,0.18,7,Central,Illinois
ORD1140,2023-10-02 00:00:00,2023-10-04 00:00:00,Customer 160,Corporate,Furniture,Bookcases,Bookcases 66,627.07,95.11,0.2,2,West,California
ORD1141,2023-06-13 00:00:00,2023-06-20 00:00:00,Customer 21,Small Business,Furniture,Bookcases,Bookcases 63,769.28,47.81,0.13,3,Central,New York
ORD1142,2023-04-03 00:00:00,2023-04-10 00:00:00,Customer 499,Consumer,Furniture,Sofas,Sofas 95,773.44,91.85,0.05,10,South,Illinois
ORD1143,2023-09-19 00:00:00,2023-09-24 00:00:00,Customer 305,Consumer,Technology,Printers,Printers 17,41.17,10.94,0.01,3,South,Texas
ORD1144,2023-03-04 00:00:00,2023-03-10 00:00:00,Customer 298,Home Office,Furniture,Chairs,Chairs 61,85.45,18.8,0.17,9,South,Texas
ORD1145,2023-04-15 00:00:00,2023-04-20 00:00:00,Customer 52,Small Business,Technology,Monitors,Monitors 16,143.3,18.64,0.15,2,East,Texas
ORD1146,2023-12-18 00:00:00,2023-12-19 00:00:00,Customer 174,Small Business,Furniture,Chairs,Chairs 69,766.16,150.8,0.19,5,West,California
ORD1147,2023-08-25 00:00:00,2023-08-27 00:00:00,Customer 75,Consumer,Furniture,Sofas,Sofas 4,373.14,94.21,0.18,2,East,New York
ORD1148,2023-03-27 00:00:00,2023-03-30 00:00:00,Customer 498,Consumer,Office Supplies,Paper,Paper 15,587.46,117.75,0.16,1,Central,Texas
ORD1149,2023-12-16 00:00:00,2023-12-22 00:00:00,Customer 320,Consumer,Technology,Laptops,Laptops 12,587.05,144.98,0.2,7,South,Texas
ORD1150,2023-08-09 00:00:00,2023-08-15 00:00:00,Customer 182,Home Office,Technology,Laptops,Laptops 43,858.85,142.93,0.19,2,East,Texas
ORD1151,2023-03-12 00:00:00,2023-03-13 00:00:00,Customer 300,Home Office,Office Supplies,Pens,Pens 59,696.94,191.1,0.18,2,Central,New York
ORD1152,2023-11-18 00:00:00,2023-11-25 00:00:00,Customer 321,Small Business,Technology,Laptops,Laptops 26,103.71,29.78,0,8,East,California
ORD1153,2023-11-10 00:00:00,2023-11-14 00:00:00,Customer 154,Consumer,Furniture,Sofas,Sofas 98,555.84,33.17,0.1,2,South,Illinois
ORD1154,2023-01-08 00:00:00,2023-01-09 00:00:00,Customer 403,Corporate,Office Supplies,Paper,Paper 23,113.74,28.49,0.2,2,South,California
ORD1155,2023-12-30 00:00:00,2024-01-06 00:00:00,Customer 334,Home Office,Office Supplies,Paper,Paper 70,763.79,60.25,0.14,10,Central,Florida
ORD1156,2023-04-16 00:00:00,2023-04-22 00:00:00,Customer 95,Home Office,Furniture,Sofas,Sofas 7,393.05,114.78,0.14,3,Central,Texas
ORD1157,2023-02-25 00:00:00,2023-03-04 00:00:00,Customer 256,Corporate,Technology,Printers,Printers 26,676.63,139.2,0.08,7,West,Florida
ORD1158,2023-07-22 00:00:00,2023-07-24 00:00:00,Customer 9,Small Business,Technology,Laptops,Laptops 85,405.53,94.7,0.17,7,West,Florida
ORD1159,2023-12-18 00:00:00,2023-12-25 00:00:00,Customer 280,Corporate,Technology,Laptops,Laptops 14,463.56,115.31,0.17,10,South,California
ORD1160,2023-04-13 00:00:00,2023-04-19 00:00:00,Customer 45,Corporate,Furniture,Tables,Tables 4,615.01,144.05,0.15,5,Central,Texas
ORD1161,2023-05-18 00:00:00,2023-05-19 00:00:00,Customer 203,Corporate,Furniture,Tables,Tables 19,843.25,146.04,0.02,7,Central,Florida
ORD1162,2023-02-16 00:00:00,2023-02-21 00:00:00,Customer 402,Home Office,Technology,Monitors,Monitors 2,111.93,21.76,0.12,1,Central,Texas
ORD1163,2023-11-20 00:00:00,2023-11-24 00:00:00,Customer 209,Small Business,Technology,Laptops,Laptops 14,460.38,26.74,0.2,10,South,New York
ORD1164,2023-10-14 00:00:00,2023-10-17 00:00:00,Customer 214,Corporate,Office Supplies,Paper,Paper 90,595.84,140.5,0.2,10,South,New York
ORD1165,2023-01-31 00:00:00,2023-02-04 00:00:00,Customer 265,Consumer,Furniture,Sofas,Sofas 27,175,41.57,0.17,3,West,Florida
ORD1166,2023-07-02 00:00:00,2023-07-09 00:00:00,Customer 83,Small Business,Office Supplies,Paper,Paper 91,265.85,55.87,0.2,9,Central,California
ORD1167,2023-08-03 00:00:00,2023-08-04 00:00:00,Customer 445,Home Office,Furniture,Bookcases,Bookcases 56,480.63,117.72,0.17,4,Central,Florida
ORD1168,2023-01-05 00:00:00,2023-01-11 00:00:00,Customer 334,Home Office,Office Supplies,Staplers,Staplers 19,227.01,44.52,0.13,2,South,Florida
ORD1169,2023-08-30 00:00:00,2023-08-31 00:00:00,Customer 395,Corporate,Furniture,Sofas,Sofas 14,204.79,39.66,0.1,9,East,Florida
ORD1170,2023-08-13 00:00:00,2023-08-18 00:00:00,Customer 412,Corporate,Technology,Printers,Printers 45,920.56,216.82,0.18,8,East,California
ORD1171,2023-06-07 00:00:00,2023-06-11 00:00:00,Customer 1,Corporate,Office Supplies,Binders,Binders 36,989.02,171.07,0.1,1,South,New York
ORD1172,2023-11-18 00:00:00,2023-11-25 00:00:00,Customer 380,Small Business,Furniture,Sofas,Sofas 27,379.89,110.67,0.13,3,West,Illinois
ORD1173,2023-01-11 00:00:00,2023-01-14 00:00:00,Customer 222,Corporate,Technology,Laptops,Laptops 56,586.75,172.02,0.03,6,East,Florida
